Date,Company,Path,SpecificDate,Children
2010Q4,AAPL,,,FALSE
2010Q4,ABBV,,,FALSE
2010Q4,ABT,/pure_articles/ABT/2011-01-26T19:05:13-05:00_Abbott Laboratories' CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-01-26T19:05:13-05:00,FALSE
2010Q4,ACN,,,FALSE
2010Q4,ADBE,,,FALSE
2010Q4,AMD,/pure_articles/AMD/2011-01-21T11:39:30-05:00_Advanced Micro Devices CEO Discusses Q4 2010 Earnings Call Transcript.html,2011-01-21T11:39:30-05:00,FALSE
2010Q4,AMZN,/pure_articles/AMZN/2011-01-27T23:05:19-05:00_Amazon.com Management Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-01-27T23:05:19-05:00,FALSE
2010Q4,AVGO,/pure_articles/AVGO/2011-02-02T02:05:11-05:00_Broadcom's CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-02-02T02:05:11-05:00,TRUE
2010Q4,BAC,/pure_articles/BAC/2011-01-21T16:05:23-05:00_Bank of America's CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-01-21T16:05:23-05:00,FALSE
2010Q4,CMCSA,/pure_articles/CMCSA/2011-02-16T15:30:00-05:00_Comcast's CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-02-16T15:30:00-05:00,FALSE
2010Q4,COST,,,FALSE
2010Q4,CRM,,,FALSE
2010Q4,CSCO,,,FALSE
2010Q4,CVX,/pure_articles/CVX/2011-02-10T15:49:43-05:00_Noble Energy CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-02-10T15:49:43-05:00,TRUE
2010Q4,CVX,/pure_articles/CVX/2011-01-28T16:05:19-05:00_Chevron's CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-01-28T16:05:19-05:00,FALSE
2010Q4,DHR,/pure_articles/DHR/2011-01-27T15:05:16-05:00_Danaher's CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-01-27T15:05:16-05:00,FALSE
2010Q4,DIS,,,FALSE
2010Q4,FB,,,FALSE
2010Q4,GOOG,/pure_articles/GOOG/2011-01-21T16:05:23-05:00_Google's CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-01-21T16:05:23-05:00,FALSE
2010Q4,GOOGL,,,FALSE
2010Q4,HD,/pure_articles/HD/2011-02-22T14:10:23-05:00_The Home Depot's CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-02-22T14:10:23-05:00,FALSE
2010Q4,INTC,/pure_articles/INTC/2011-01-26T07:05:11-05:00_Altera's CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-01-26T07:05:11-05:00,TRUE
2010Q4,INTC,/pure_articles/INTC/2011-01-13T21:42:33-05:00_Intel CEO Discusses Q4 2010 Results – Earnings Call Transcript.html,2011-01-13T21:42:33-05:00,FALSE
2010Q4,JNJ,/pure_articles/JNJ/2011-01-25T19:05:12-05:00_Johnson & Johnson's CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-01-25T19:05:12-05:00,FALSE
2010Q4,JPM,/pure_articles/JPM/2011-01-20T06:05:27-05:00_JPMorgan Chase CEO Discusses Q4 2010 Results – Earnings Call Transcript.html,2011-01-20T06:05:27-05:00,FALSE
2010Q4,KO,/pure_articles/KO/2011-02-09T14:10:36-05:00_The Coca-Cola's CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-02-09T14:10:36-05:00,FALSE
2010Q4,LLY,/pure_articles/LLY/2011-01-27T17:05:35-05:00_Eli Lilly & Co.'s CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-01-27T17:05:35-05:00,FALSE
2010Q4,MA,/pure_articles/MA/2011-02-03T13:50:22-05:00_Mastercard Incorporated's CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-02-03T13:50:22-05:00,FALSE
2010Q4,MCD,/pure_articles/MCD/2011-01-24T17:05:16-05:00_McDonald's' CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-01-24T17:05:16-05:00,FALSE
2010Q4,MRK,/pure_articles/MRK/2011-02-03T14:20:31-05:00_Merck & Co.'s CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-02-03T14:20:31-05:00,FALSE
2010Q4,MS,/pure_articles/MS/2011-01-21T11:39:30-05:00_Morgan Stanley CEO Discusses Q4 2010 Earnings Call Transcript.html,2011-01-21T11:39:30-05:00,FALSE
2010Q4,MSFT,,,FALSE
2010Q4,NFLX,/pure_articles/NFLX/2011-01-26T22:05:26-05:00_Netflix's CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-01-26T22:05:26-05:00,FALSE
2010Q4,NKE,,,FALSE
2010Q4,NVDA,,,FALSE
2010Q4,ORCL,,,FALSE
2010Q4,PEP,/pure_articles/PEP/2011-02-10T13:00:17-05:00_Pepsico's CEO Discusses Q4 2010 Results - Earnings Call Transcript.html,2011-02-10T13:00:17-05:00,FALSE
