Unnamed: 0,Ticker,Quarter,Date,Total_Words,Sum,Mean,Median,Std,%Positive,%Negative,%Neutral,Flesch score,Polysyllable number per sentence
25,AAPL,2011Q1,2011-01-18,4969,830.0,0.16703562084926546,0.0,0.6127602530816119,9.579392231837392,0.9056148118333668,89.51499295632924,60.02,2.3
59,AAPL,2011Q2,2011-04-20,5552,979.0,0.1763328530259366,0.0,0.6406584020006078,10.122478386167149,1.3148414985590775,88.56268011527378,59.85,2.29
100,AAPL,2011Q3,2011-07-19,5106,842.0,0.16490403446925184,0.0,0.6166401019027551,9.439874657265962,0.99882491186839,89.56130043086566,57.47,2.2
140,AAPL,2011Q4,2011-10-18,5483,816.0,0.14882363669523982,0.0,0.5968052964929805,8.699616997993799,1.0942914462885285,90.20609155571768,60.9,2.13
183,AAPL,2012Q1,2012-01-24,5282,769.0,0.14558879212419534,0.0,0.5839879190335112,8.48163574403635,0.9655433547898524,90.5528209011738,50.47,2.64
230,AAPL,2012Q2,2012-04-24,5313,761.0,0.14323357801618672,0.0,0.5939579133644046,8.695652173913043,1.3363448146056842,89.96800301148127,55.65,2.21
274,AAPL,2012Q3,2012-07-24,5636,1020.0,0.18097941802696949,0.0,0.6155917062648953,10.255500354861605,0.6919801277501774,89.0525195173882,63.12,2.24
321,AAPL,2012Q4,2012-10-25,5903,1022.0,0.17313230560731832,0.0,0.6249444277116071,9.927155683550737,1.1180755548026426,88.95476876164663,56.58,2.75
369,AAPL,2013Q1,2013-01-23,5817,914.0,0.1571256661509369,0.0,0.6035183325921036,9.231562661165551,1.0658414990544955,89.70259583977995,94.76,1.9
414,AAPL,2013Q2,2013-04-23,5740,945.0,0.16463414634146342,0.0,0.6125567537503069,9.982578397212544,1.0278745644599303,88.98954703832752,56.3,2.82
460,AAPL,2013Q3,2013-07-23,5217,907.0,0.17385470576959938,0.0,0.6066025051747468,9.545715928694653,0.5367069196856431,89.9175771516197,53.74,3.17
508,AAPL,2013Q4,2013-10-28,5604,929.0,0.16577444682369735,0.0,0.6135182970839913,9.635974304068524,1.0171306209850108,89.34689507494646,95.87,1.95
554,AAPL,2014Q1,2014-01-27,5075,770.0,0.15172413793103448,0.0,0.5817437418631435,8.610837438423642,0.7881773399014778,90.60098522167488,55.57,2.82
601,AAPL,2014Q2,2014-04-23,5146,976.0,0.1896618732996502,0.0,0.6414406179889954,10.649047804119702,0.8744656043528954,88.4764865915274,54.32,2.79
647,AAPL,2014Q3,2014-07-22,4950,725.0,0.14646464646464644,0.0,0.5687371431782589,8.484848484848486,0.6666666666666667,90.84848484848484,60.24,2.53
694,AAPL,2014Q4,2014-10-20,6464,915.0,0.14155321782178218,0.0,0.5737405470527401,8.431311881188119,1.222153465346535,90.34653465346537,37.72,4.72
740,AAPL,2015Q1,2015-01-27,5407,800.0,0.1479563528759016,0.0,0.5921603565308391,8.59996301091178,1.1466617347882373,90.25337525429998,59.35,2.55
787,AAPL,2015Q2,2015-04-27,4897,748.0,0.15274657953849294,0.0,0.6261827955841385,9.148458239738616,1.4498672656728608,89.4016744945885,57.66,2.77
833,AAPL,2015Q3,2015-07-21,5427,870.0,0.1603095632946379,0.0,0.6330570869429554,9.250046065966464,1.4188317670904735,89.33112216694306,64.51,2.2
880,AAPL,2015Q4,2015-10-27,5403,896.0,0.16583379603923745,0.0,0.6144340757034932,9.494725152692947,1.036461225245234,89.4688136220618,57.32,2.51
927,AAPL,2016Q1,2016-01-26,5500,872.0,0.15854545454545454,0.0,0.6024361592676175,9.418181818181818,1.1090909090909091,89.47272727272725,58.45,2.97
976,AAPL,2016Q2,2016-04-26,5695,789.0,0.1385425812115891,0.0,0.5824517755580407,8.375768217734855,1.1940298507462688,90.43020193151888,58.36,2.48
1020,AAPL,2016Q3,2016-07-26,5550,807.0,0.14540540540540542,0.0,0.583558264703559,8.63063063063063,1.1891891891891893,90.1801801801802,61.42,2.3
1070,AAPL,2016Q4,2016-10-25,5677,1028.0,0.18108155716047208,0.0,0.6326572036155473,10.199048793376782,1.0568962480183195,88.7440549586049,63.49,2.23
1117,AAPL,2017Q1,2017-01-31,5063,816.0,0.1611692672328659,0.0,0.6395508285778764,9.500296267035353,1.5998419909144777,88.89986174205015,62.77,2.16
